X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
116,3-4 times,7-8 days,5,Female,45-54,93463,NA,0,$100-$199,$200-$499,"$1,000-$1,499",$200-$499,$500-$999,NA,"$1,000-$1,999",$50-$99,$50-$99,0,Multiple day trips,Boulder Resident,200
153,20,5-6 days,4,Female,35-44,80306,No,A few hours,$21-$49,NA,$1 - $20,$1 - $20,$21-$49,$1 - $20,"$1,000-$1,999",$200-$499,$1 - $20,0,Three nights,Hotel or motel,175
222,45,12,3,Female,65-74,80309,Yes,Home is here,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,"$2,000-$4,999",$20-$49,$500-$999,$20-$49,Live in Boulder,Boulder Resident,0
13,20,0,2,Female,55-64,80303,NA,Home is here,0,0,0,0,0,0,"$2,000-$4,999",$500-$999,$50-$99,$500-$999,Resident,Hotel or motel,240
64,20,1-2 days,5,Female,75-84,80303,Yes,Didn't extend stay,$1 - $20,0,$1 - $20,0,0,0,"$2,000-$4,999",$100-$199,$500-$999,$20-$49,Four nights,Hotel or motel,280
4,1,1-2 days,3,Female,35-44,80306,No,0,0,$21-$49,NA,$200-$499,NA,$50-$99,$50-$99,$20-$49,$200-$499,$500-$999,Three nights,NA,280
250,20,0,3,Female,55-64,92463,No,0,$1 - $20,"$2,000-$3,000",$500-$999,NA,$100-$199,"$3,000-$4,000","$2,000-$4,999",$20-$49,$500-$999,$50-$99,Day trip,"Friends, family or no expense",175
61,20,0,2,Female,75-84,80309,No,Didn't extend stay,$1 - $20,0,0,0,$21-$49,$21-$49,"$2,000-$4,999",$100-$199,NA,$50-$99,Multiple day trips,"Friends, family or no expense",N/A
234,5-6 times,1-2 days,2,Female,45-54,80303,NA,I live here,$50-$99,0,0,0,0,0,$100-$199,0,$50-$99,$50-$99,Two nights,"Friends, family or no expense",200
207,20,3-4 days,2,Female,65-74,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$50-$99,0,$21-$49,$1 - $20,0,0,$20-$49,$500-$999,$200-$499,$50-$99,Local,Hotel or motel,N/A
209,20,20,4,Female,45-54,80303,NA,Live in area,$50-$99,$200-$499,$100-$199,$200-$499,0,0,$200-$499,$50-$99,$50-$99,NA,Local,Hotel or motel,240
175,1-2 times,7-8 days,3,Male,35-44,93437,Yes,A few hours,$21-$49,0,$50-$99,$21-$49,0,0,"$2,000-$4,999",$500-$999,$1 - $20,$50-$99,I live here,"Friends, family or no expense",NA
78,1-2 times,3-4 days,4,Male,55-64,80304,NA,-,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$20-$49,$100-$199,$1 - $20,Day trip,Boulder Resident,500
49,5-6 times,0,0,Female,55-64,80306,Yes,Home is here,0,0,0,0,0,0,$200-$499,$1 - $20,$20-$49,$1 - $20,Resident,"Friends, family or no expense",175
236,5-6 times,3-4 days,5,Male,45-54,80303,No,1 day,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$1,000-$1,999",$20-$49,$50-$99,$1 - $20,One night,"Friends, family or no expense",200
